class,fgpa,gpa,gen,age,study,distance,rep,value,oppgrow,swag,assoc,donate,suppres,divexp,talk,satacopp,sbonds,unique,home,sports,meanact,major,acsupp,facsrel,ocpride,cultacc,pride,cares,colors,appreciated,ocbelong,imm,int,country,usforeign,region,continent
4,3,3,2,3,1,1,0,0,2,0,2,2,3,3,2,2,2,2,1,0,3,1,3,1,2,3,2,1,1,2,1,0,0,NA,0,NA,NA
2,3,3,0,1,6,0,2,3,2,2,2,1,3,3,2,2,2,2,2,0,2,2,3,3,1,3,2,3,2,3,2,1,0,Afghanistan,0,South-Central Asia,Asia
3,1,2,1,1,6,0,2,2,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,NA,0,NA,NA
2,3,3,1,1,7,0,3,3,2,2,2,2,3,3,3,2,2,2,3,1,2,3,3,2,2,3,3,2,2,2,2,1,0,India,0,South-Central Asia,Asia
1,2,2,1,1,4,2,3,3,3,2,3,3,3,3,2,3,3,3,2,1,3,3,3,3,2,3,3,3,2,3,2,1,0,USA,1,North America,North America
2,3,3,1,1,7,0,2,2,2,2,3,2,2,3,2,3,3,2,3,1,2,2,3,2,2,3,3,3,2,2,2,1,0,Thailand,0,Southeast Asia,Asia
2,2,2,1,1,7,0,3,3,3,2,2,2,3,3,2,2,3,3,2,0,3,3,3,2,1,3,2,2,2,2,2,1,0,Syria ,0,Western Asia,Asia
3,2,2,1,1,7,0,3,2,3,2,3,2,3,3,2,2,2,3,2,0,2,2,2,1,2,3,3,2,1,2,2,1,0,India,0,South-Central Asia,Asia
3,3,3,1,1,6,0,2,2,2,0,1,1,2,2,1,2,0,2,2,0,3,1,0,0,1,3,2,2,2,2,1,0,0,NA,0,NA,NA
3,3,3,1,1,1,0,3,3,3,2,1,2,3,3,2,3,3,2,2,0,2,2,2,3,2,2,2,3,2,3,2,0,0,NA,0,NA,NA
3,3,3,0,1,7,0,1,2,1,0,0,0,2,2,1,2,0,1,0,0,1,1,2,1,1,2,1,1,0,1,0,1,0,USA,1,North America,North America
2,3,3,1,1,7,2,1,1,2,3,1,1,2,2,1,2,2,2,2,0,2,1,2,1,2,2,2,1,1,1,2,1,0,Nigeria,0,West Africa,Africa
3,2,2,1,1,6,0,2,2,3,3,2,2,3,2,2,3,2,2,3,1,2,2,2,2,2,3,2,2,2,2,3,0,0,NA,0,NA,NA
1,2,2,1,1,4,0,2,1,1,0,1,2,2,2,1,2,0,2,0,0,2,1,2,1,2,3,2,2,1,1,1,1,0,El Salvador,0,Central America,North America
3,3,3,1,1,4,0,0,2,3,1,2,2,3,3,1,3,3,2,0,0,1,0,2,2,2,0,2,2,0,2,3,1,0,USA,1,North America,North America
0,NA,3,1,0,7,2,3,2,2,2,2,2,3,3,3,3,1,2,2,1,2,1,3,2,3,3,3,2,2,2,2,1,0,India,0,South-Central Asia,Asia
2,2,2,1,1,7,0,2,3,3,2,3,3,3,3,2,3,3,3,2,1,2,2,2,1,3,3,3,2,3,2,2,1,0,India,0,South-Central Asia,Asia
2,3,3,1,1,6,0,1,2,3,2,2,2,3,2,2,3,2,2,2,0,3,2,3,2,3,2,3,3,2,3,2,1,0,Nigeria,0,West Africa,Africa
